#name,startNode,endNode,startDirection,endDirection,EOLchannelcount,channelplan,fibername,protection,working,protector,parameter1,parameter2,parameter3,parameter4,parameter5,dhcpPoolDomainName
#Version 5.1,,,,,,,,,,,,,,,,
0002 DWDMU F13 TR14,TR14,F13-1,3,1,96,96 Standard hiT 7300+,F0099,Unprotected,,,,,,,,
0002 DWDMU F13 TR14,TR14,F13-1,3,1,96,96 Standard hiT 7300+,F0101,Unprotected,,,,,,,,
0001 DWDMU F13 TR14,F13-1,TR14,1,3,96,96 Standard hiT 7300+,F0102,Unprotected,,,,,,,,
0001 DWDMU F13 TR14,F13-1,TR14,1,3,96,96 Standard hiT 7300+,F0100,Unprotected,,,,,,,,
0003 DWDMU F13 TR4,F13-1,TR4,2,1,96,96 Standard hiT 7300+,F0107,Unprotected,,,,,,,,
0003 DWDMU F13 TR4,F13-1,TR4,2,1,96,96 Standard hiT 7300+,F0109,Unprotected,,,,,,,,
0003 DWDMU F13 TR4,F13-1,TR4,2,1,96,96 Standard hiT 7300+,F0111,Unprotected,,,,,,,,
0004 DWDMU F13 TR4,TR4,F13-1,1,2,96,96 Standard hiT 7300+,F0112,Unprotected,,,,,,,,
0004 DWDMU F13 TR4,TR4,F13-1,1,2,96,96 Standard hiT 7300+,F0110,Unprotected,,,,,,,,
0004 DWDMU F13 TR4,TR4,F13-1,1,2,96,96 Standard hiT 7300+,F0108,Unprotected,,,,,,,,
0001 DWDMU F13 TR3,F13-1,TR3,3,1,96,96 Standard hiT 7300+,F0113,Unprotected,,,,,,,,
0001 DWDMU F13 TR3,F13-1,TR3,3,1,96,96 Standard hiT 7300+,F0115,Unprotected,,,,,,,,
0002 DWDMU F13 TR3,TR3,F13-1,1,3,96,96 Standard hiT 7300+,F0116,Unprotected,,,,,,,,
0002 DWDMU F13 TR3,TR3,F13-1,1,3,96,96 Standard hiT 7300+,F0114,Unprotected,,,,,,,,
0002 DWDMU F13 F16,F16-1,F13-1,3,4,96,96 Standard hiT 7300+,F0119,Unprotected,,,,,,,,
0002 DWDMU F13 F16,F16-1,F13-1,3,4,96,96 Standard hiT 7300+,F0118,Unprotected,,,,,,,,
0001 DWDMU F13 F16,F13-1,F16-1,4,3,96,96 Standard hiT 7300+,F0117,Unprotected,,,,,,,,
0001 DWDMU F13 F16,F13-1,F16-1,4,3,96,96 Standard hiT 7300+,F0120,Unprotected,,,,,,,,
0001 DWDMU F10 TR14,F10-1,TR14,2,1,96,96 Standard hiT 7300+,F0087,Unprotected,,,,,,,,
0001 DWDMU F10 TR14,F10-1,TR14,2,1,96,96 Standard hiT 7300+,F0089,Unprotected,,,,,,,,
0002 DWDMU F10 TR14,TR14,F10-1,1,2,96,96 Standard hiT 7300+,F0090,Unprotected,,,,,,,,
0002 DWDMU F10 TR14,TR14,F10-1,1,2,96,96 Standard hiT 7300+,F0088,Unprotected,,,,,,,,
0002 DWDMU F16 TR14,TR14,F16-1,4,2,96,96 Standard hiT 7300+,F0103,Unprotected,,,,,,,,
0002 DWDMU F16 TR14,TR14,F16-1,4,2,96,96 Standard hiT 7300+,F0105,Unprotected,,,,,,,,
0001 DWDMU F16 TR14,F16-1,TR14,2,4,96,96 Standard hiT 7300+,F0106,Unprotected,,,,,,,,
0001 DWDMU F16 TR14,F16-1,TR14,2,4,96,96 Standard hiT 7300+,F0104,Unprotected,,,,,,,,
0002 DWDMU TR3 TR4,TR4,TR3,2,2,96,96 Standard hiT 7300+,F0121,Unprotected,,,,,,,,
0001 DWDMU TR3 TR4,TR3,TR4,2,2,96,96 Standard hiT 7300+,F0122,Unprotected,,,,,,,,
0001 DWDMU TR4 TR6,TR4,TR6,3,1,96,96 Standard hiT 7300+,F0123,Unprotected,,,,,,,,
0001 DWDMU TR4 TR6,TR4,TR6,3,1,96,96 Standard hiT 7300+,F0125,Unprotected,,,,,,,,
0001 DWDMU TR4 TR6,TR4,TR6,3,1,96,96 Standard hiT 7300+,F0127,Unprotected,,,,,,,,
0002 DWDMU TR4 TR6,TR6,TR4,1,3,96,96 Standard hiT 7300+,F0128,Unprotected,,,,,,,,
0002 DWDMU TR4 TR6,TR6,TR4,1,3,96,96 Standard hiT 7300+,F0126,Unprotected,,,,,,,,
0002 DWDMU TR4 TR6,TR6,TR4,1,3,96,96 Standard hiT 7300+,F0124,Unprotected,,,,,,,,
0003 DWDMU TR3 TR6,TR3,TR6,3,2,96,96 Standard hiT 7300+,F0129,Unprotected,,,,,,,,
0003 DWDMU TR3 TR6,TR3,TR6,3,2,96,96 Standard hiT 7300+,F0131,Unprotected,,,,,,,,
0004 DWDMU TR3 TR6,TR6,TR3,2,3,96,96 Standard hiT 7300+,F0132,Unprotected,,,,,,,,
0004 DWDMU TR3 TR6,TR6,TR3,2,3,96,96 Standard hiT 7300+,F0130,Unprotected,,,,,,,,
0001 DWDMU F16 TR6,F16-1,TR6,4,3,96,96 Standard hiT 7300+,F0133,Unprotected,,,,,,,,
0001 DWDMU F16 TR6,F16-1,TR6,4,3,96,96 Standard hiT 7300+,F0135,Unprotected,,,,,,,,
0002 DWDMU F16 TR6,TR6,F16-1,3,4,96,96 Standard hiT 7300+,F0136,Unprotected,,,,,,,,
0002 DWDMU F16 TR6,TR6,F16-1,3,4,96,96 Standard hiT 7300+,F0134,Unprotected,,,,,,,,
0002 DWDMU F18 TR6,TR6,F18-1,4,1,96,96 Standard hiT 7300+,F0138,Unprotected,,,,,,,,
0002 DWDMU F18 TR6,TR6,F18-1,4,1,96,96 Standard hiT 7300+,F0139,Unprotected,,,,,,,,
0001 DWDMU F18 TR6,F18-1,TR6,1,4,96,96 Standard hiT 7300+,F0140,Unprotected,,,,,,,,
0001 DWDMU F18 TR6,F18-1,TR6,1,4,96,96 Standard hiT 7300+,F0137,Unprotected,,,,,,,,
0004 DWDMU TR5 TR6,TR6,TR5,5,1,96,96 Standard hiT 7300+,F0141,Unprotected,,,,,,,,
0004 DWDMU TR5 TR6,TR6,TR5,5,1,96,96 Standard hiT 7300+,F0143,Unprotected,,,,,,,,
0003 DWDMU TR5 TR6,TR5,TR6,1,5,96,96 Standard hiT 7300+,F0144,Unprotected,,,,,,,,
0003 DWDMU TR5 TR6,TR5,TR6,1,5,96,96 Standard hiT 7300+,F0142,Unprotected,,,,,,,,
0001 DWDMU F10 F16,F10-1,F16-1,3,1,96,96 Standard hiT 7300+,F0091,Unprotected,,,,,,,,
0001 DWDMU F10 F16,F10-1,F16-1,3,1,96,96 Standard hiT 7300+,F0093,Unprotected,,,,,,,,
0002 DWDMU F10 F16,F16-1,F10-1,1,3,96,96 Standard hiT 7300+,F0094,Unprotected,,,,,,,,
0002 DWDMU F10 F16,F16-1,F10-1,1,3,96,96 Standard hiT 7300+,F0092,Unprotected,,,,,,,,
0004 DWDMU TR1 TR12,TR12,TR1,2,1,96,96 Standard hiT 7300+,F0043,Unprotected,,,,,,,,
0004 DWDMU TR1 TR12,TR12,TR1,2,1,96,96 Standard hiT 7300+,F0045,Unprotected,,,,,,,,
0003 DWDMU TR1 TR12,TR1,TR12,1,2,96,96 Standard hiT 7300+,F0046,Unprotected,,,,,,,,
0003 DWDMU TR1 TR12,TR1,TR12,1,2,96,96 Standard hiT 7300+,F0044,Unprotected,,,,,,,,
0002 DWDMU F25 TR12,TR12,F25-1,3,1,96,96 Standard hiT 7300+,F0047,Unprotected,,,,,,,,
0002 DWDMU F25 TR12,TR12,F25-1,3,1,96,96 Standard hiT 7300+,F0049,Unprotected,,,,,,,,
0001 DWDMU F25 TR12,F25-1,TR12,1,3,96,96 Standard hiT 7300+,F0050,Unprotected,,,,,,,,
0001 DWDMU F25 TR12,F25-1,TR12,1,3,96,96 Standard hiT 7300+,F0048,Unprotected,,,,,,,,
0002 DWDMU F27 TR12,TR12,F27-1,4,1,96,96 Standard hiT 7300+,F0051,Unprotected,,,,,,,,
0002 DWDMU F27 TR12,TR12,F27-1,4,1,96,96 Standard hiT 7300+,F0053,Unprotected,,,,,,,,
0002 DWDMU F27 TR12,TR12,F27-1,4,1,96,96 Standard hiT 7300+,F0055,Unprotected,,,,,,,,
0001 DWDMU F27 TR12,F27-1,TR12,1,4,96,96 Standard hiT 7300+,F0056,Unprotected,,,,,,,,
0001 DWDMU F27 TR12,F27-1,TR12,1,4,96,96 Standard hiT 7300+,F0054,Unprotected,,,,,,,,
0001 DWDMU F27 TR12,F27-1,TR12,1,4,96,96 Standard hiT 7300+,F0052,Unprotected,,,,,,,,
0001 DWDMU F6 TR2,F6-1,TR2,3,1,96,96 Standard hiT 7300+,F0057,Unprotected,,,,,,,,
0001 DWDMU F6 TR2,F6-1,TR2,3,1,96,96 Standard hiT 7300+,F0059,Unprotected,,,,,,,,
0002 DWDMU F6 TR2,TR2,F6-1,1,3,96,96 Standard hiT 7300+,F0060,Unprotected,,,,,,,,
0002 DWDMU F6 TR2,TR2,F6-1,1,3,96,96 Standard hiT 7300+,F0058,Unprotected,,,,,,,,
0001 DWDMU F10 F6,F10-1,F6-1,1,4,96,96 Standard hiT 7300+,F0062,Unprotected,,,,,,,,
0001 DWDMU F10 F6,F10-1,F6-1,1,4,96,96 Standard hiT 7300+,F0063,Unprotected,,,,,,,,
0002 DWDMU F10 F6,F6-1,F10-1,4,1,96,96 Standard hiT 7300+,F0064,Unprotected,,,,,,,,
0002 DWDMU F10 F6,F6-1,F10-1,4,1,96,96 Standard hiT 7300+,F0061,Unprotected,,,,,,,,
0002 DWDMU F10 TR2,TR2,F10-1,4,4,96,96 Standard hiT 7300+,F0147,Unprotected,,,,,,,,
0002 DWDMU F10 TR2,TR2,F10-1,4,4,96,96 Standard hiT 7300+,F0149,Unprotected,,,,,,,,
0001 DWDMU F10 TR2,F10-1,TR2,4,4,96,96 Standard hiT 7300+,F0150,Unprotected,,,,,,,,
0001 DWDMU F10 TR2,F10-1,TR2,4,4,96,96 Standard hiT 7300+,F0148,Unprotected,,,,,,,,
0001 DWDMU F7 TR1,F7-1,TR1,1,2,96,96 Standard hiT 7300+,F0069,Unprotected,,,,,,,,
0002 DWDMU F7 TR1,TR1,F7-1,2,1,96,96 Standard hiT 7300+,F0070,Unprotected,,,,,,,,
0003 DWDMU TR1 TR2,TR1,TR2,3,3,96,96 Standard hiT 7300+,F0083,Unprotected,,,,,,,,
0003 DWDMU TR1 TR2,TR1,TR2,3,3,96,96 Standard hiT 7300+,F0085,Unprotected,,,,,,,,
0004 DWDMU TR1 TR2,TR2,TR1,3,3,96,96 Standard hiT 7300+,F0086,Unprotected,,,,,,,,
0004 DWDMU TR1 TR2,TR2,TR1,3,3,96,96 Standard hiT 7300+,F0084,Unprotected,,,,,,,,
0001 DWDMU F7 TR2,F7-1,TR2,2,2,96,96 Standard hiT 7300+,F0071,Unprotected,,,,,,,,
0001 DWDMU F7 TR2,F7-1,TR2,2,2,96,96 Standard hiT 7300+,F0073,Unprotected,,,,,,,,
0002 DWDMU F7 TR2,TR2,F7-1,2,2,96,96 Standard hiT 7300+,F0074,Unprotected,,,,,,,,
0002 DWDMU F7 TR2,TR2,F7-1,2,2,96,96 Standard hiT 7300+,F0072,Unprotected,,,,,,,,
0002 DWDMU F18 TR2,TR2,F18-1,5,3,96,96 Standard hiT 7300+,F0151,Unprotected,,,,,,,,
0002 DWDMU F18 TR2,TR2,F18-1,5,3,96,96 Standard hiT 7300+,F0153,Unprotected,,,,,,,,
0002 DWDMU F18 TR2,TR2,F18-1,5,3,96,96 Standard hiT 7300+,F0155,Unprotected,,,,,,,,
0001 DWDMU F18 TR2,F18-1,TR2,3,5,96,96 Standard hiT 7300+,F0156,Unprotected,,,,,,,,
0001 DWDMU F18 TR2,F18-1,TR2,3,5,96,96 Standard hiT 7300+,F0154,Unprotected,,,,,,,,
0001 DWDMU F18 TR2,F18-1,TR2,3,5,96,96 Standard hiT 7300+,F0152,Unprotected,,,,,,,,
0001 DWDMU F18 TR5,F18-1,TR5,2,2,96,96 Standard hiT 7300+,F0145,Unprotected,,,,,,,,
0002 DWDMU F18 TR5,TR5,F18-1,2,2,96,96 Standard hiT 7300+,F0146,Unprotected,,,,,,,,
0001 DWDMU F18 F20,F18-1,F20-1,4,2,96,96 Standard hiT 7300+,F0157,Unprotected,,,,,,,,
0001 DWDMU F18 F20,F18-1,F20-1,4,2,96,96 Standard hiT 7300+,F0159,Unprotected,,,,,,,,
0002 DWDMU F18 F20,F20-1,F18-1,2,4,96,96 Standard hiT 7300+,F0160,Unprotected,,,,,,,,
0002 DWDMU F18 F20,F20-1,F18-1,2,4,96,96 Standard hiT 7300+,F0158,Unprotected,,,,,,,,
0002 DWDMU F20 TR5,TR5,F20-1,3,3,96,96 Standard hiT 7300+,F0161,Unprotected,,,,,,,,
0002 DWDMU F20 TR5,TR5,F20-1,3,3,96,96 Standard hiT 7300+,F0163,Unprotected,,,,,,,,
0001 DWDMU F20 TR5,F20-1,TR5,3,3,96,96 Standard hiT 7300+,F0164,Unprotected,,,,,,,,
0001 DWDMU F20 TR5,F20-1,TR5,3,3,96,96 Standard hiT 7300+,F0162,Unprotected,,,,,,,,
