#name,startNode,endNode,backname,mode,fiberType,length,measuredLossC,fixFiberMargin,measuredDispersionLambdaRefC,measuredDispersionSlopeC,measuredPmd,lossesToNode,lossesFromNode,deltaRamanGain,estimatedLossC,estimatedDispersionLambdaRefC,estimatedDispersionSlopeC,estimatedPmd,sharedRiskLinkGroup,startNodeType,endNodeType,startSiteLatitudeDeg,startSiteLatitudeMin,startSiteLatitudeSec,startSiteLongitudeDeg,startSiteLongitudeMin,startSiteLongitudeSec,endSiteLatitudeDeg,endSiteLatitudeMin,endSiteLatitudeSec,endSiteLongitudeDeg,endSiteLongitudeMin,endSiteLongitudeSec,startNode.version,endNode.version,startNode.systemType,endNode.systemType,dhcpPoolDomainName,subNetNameSource,subNetDescriptionSource,subNetAreaScaleSource,subNetAreaHeightSource,subNetAreaWidthSource,subNetLatitudeSource,subNetLongitudeSource,subNetIconLatitudeSource,subNetIconLongitudeSource,subNetNameTarget,subNetDescriptionTarget,subNetAreaScaleTarget,subNetAreaHeightTarget,subNetAreaWidthTarget,subNetLatitudeTarget,subNetLongitudeTarget,subNetIconLatitudeTarget,subNetIconLongitudeTarget
#Version 5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F0056,6,S0023-100,F0055,Auto,SSMF,78.5,16.485,0,1318.8,0.058,0.443001128,0.25,0.25,0,16.485,1318.8,0.058,0.443001128,,ONN-X96,OLR,53,7,10,8,52,29,51,58,40,8,52,29,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0099,6,S0037-100,F0100,Auto,SSMF,73.5,15.435,0,1234.8,0.058,0.428660704,0.25,0.25,0,15.435,1234.8,0.058,0.428660704,,ONN-X96,OLR,53,7,10,8,52,29,53,27,33,9,6,49,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0100,S0037-100,6,F0099,Auto,SSMF,73.5,15.435,0,1234.8,0.058,0.428660704,0.25,0.25,0,15.435,1234.8,0.058,0.428660704,,OLR,ONN-X96,53,27,33,9,6,49,53,7,10,8,52,29,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0105,6,S0039-100,F0106,Auto,SSMF,72.2,15.162,0,1212.96,0.058,0.424852915,0.25,0.25,0,15.162,1212.96,0.058,0.424852915,,ONN-X96,OLR,53,7,10,8,52,29,52,26,13,9,45,51,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0106,S0039-100,6,F0105,Auto,SSMF,72.2,15.162,0,1212.96,0.058,0.424852915,0.25,0.25,0,15.162,1212.96,0.058,0.424852915,,OLR,ONN-X96,52,26,13,9,45,51,53,7,10,8,52,29,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0001,5,S0001-100,F0002,Auto,SSMF,85.4,17.934,0,1434.72,0.058,0.462060602,0.25,0.25,0,17.934,1434.72,0.058,0.462060602,,ONN-X96,OLR,53,34,54,10,4,38,53,19,53,10,48,7,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0002,S0001-100,5,F0001,Auto,SSMF,85.4,17.934,0,1434.72,0.058,0.462060602,0.25,0.25,0,17.934,1434.72,0.058,0.462060602,,OLR,ONN-X96,53,19,53,10,48,7,53,34,54,10,4,38,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0039,S0015-100,5,F0040,Auto,SSMF,76.3,16.023,0,1281.84,0.058,0.436749356,0.25,0.25,0,16.023,1281.84,0.058,0.436749356,,OLR,ONN-X96,53,14,17,10,2,10,53,34,54,10,4,38,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0040,5,S0015-100,F0039,Auto,SSMF,76.3,16.023,0,1281.84,0.058,0.436749356,0.25,0.25,0,16.023,1281.84,0.058,0.436749356,,ONN-X96,OLR,53,34,54,10,4,38,53,14,17,10,2,10,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0103,S0038-100,5,F0104,Auto,SSMF,49.4,10.374,0,829.92,0.058,0.351425667,0.25,0.25,0,10.374,829.92,0.058,0.351425667,,OLR,ONN-X96,53,25,47,9,35,58,53,34,54,10,4,38,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
