#name,startNode,endNode,startDirection,endDirection,EOLchannelcount,channelplan,fibername,protection,working,protector,parameter1,parameter2,parameter3,parameter4,parameter5,dhcpPoolDomainName
#Version 5.1,,,,,,,,,,,,,,,,
0001 DWDMU 6 8,6,8,5,3,96,96 Standard hiT 7300+,F0111,Unprotected,,,,,,,,
0002 DWDMU 6 8,8,6,3,5,96,96 Standard hiT 7300+,F0112,Unprotected,,,,,,,,
0002 DWDMU 6 8,8,6,3,5,96,96 Standard hiT 7300+,F0110,Unprotected,,,,,,,,
0002 DWDMU 6 8,8,6,3,5,96,96 Standard hiT 7300+,F0108,Unprotected,,,,,,,,
0002 DWDMU 6 8,8,6,3,5,96,96 Standard hiT 7300+,F0106,Unprotected,,,,,,,,
0002 DWDMU 1 5,5,1,1,1,96,96 Standard hiT 7300+,F0001,Unprotected,,,,,,,,
0002 DWDMU 1 5,5,1,1,1,96,96 Standard hiT 7300+,F0003,Unprotected,,,,,,,,
0002 DWDMU 1 5,5,1,1,1,96,96 Standard hiT 7300+,F0005,Unprotected,,,,,,,,
0002 DWDMU 1 5,5,1,1,1,96,96 Standard hiT 7300+,F0007,Unprotected,,,,,,,,
0002 DWDMU 1 5,5,1,1,1,96,96 Standard hiT 7300+,F0009,Unprotected,,,,,,,,
0001 DWDMU 1 5,1,5,1,1,96,96 Standard hiT 7300+,F0010,Unprotected,,,,,,,,
0001 DWDMU 1 5,1,5,1,1,96,96 Standard hiT 7300+,F0008,Unprotected,,,,,,,,
0001 DWDMU 1 5,1,5,1,1,96,96 Standard hiT 7300+,F0006,Unprotected,,,,,,,,
0001 DWDMU 1 5,1,5,1,1,96,96 Standard hiT 7300+,F0004,Unprotected,,,,,,,,
0001 DWDMU 1 5,1,5,1,1,96,96 Standard hiT 7300+,F0002,Unprotected,,,,,,,,
0001 DWDMU 4 7,4,7,2,3,96,96 Standard hiT 7300+,F0065,Unprotected,,,,,,,,
0001 DWDMU 4 7,4,7,2,3,96,96 Standard hiT 7300+,F0067,Unprotected,,,,,,,,
0001 DWDMU 4 7,4,7,2,3,96,96 Standard hiT 7300+,F0069,Unprotected,,,,,,,,
0002 DWDMU 4 7,7,4,3,2,96,96 Standard hiT 7300+,F0070,Unprotected,,,,,,,,
0002 DWDMU 4 7,7,4,3,2,96,96 Standard hiT 7300+,F0068,Unprotected,,,,,,,,
0002 DWDMU 4 7,7,4,3,2,96,96 Standard hiT 7300+,F0066,Unprotected,,,,,,,,
0001 DWDMU 4 8,4,8,3,2,96,96 Standard hiT 7300+,F0071,Unprotected,,,,,,,,
0001 DWDMU 4 8,4,8,3,2,96,96 Standard hiT 7300+,F0073,Unprotected,,,,,,,,
0001 DWDMU 4 8,4,8,3,2,96,96 Standard hiT 7300+,F0075,Unprotected,,,,,,,,
0001 DWDMU 4 8,4,8,3,2,96,96 Standard hiT 7300+,F0077,Unprotected,,,,,,,,
0001 DWDMU 4 8,4,8,3,2,96,96 Standard hiT 7300+,F0079,Unprotected,,,,,,,,
0001 DWDMU 4 8,4,8,3,2,96,96 Standard hiT 7300+,F0081,Unprotected,,,,,,,,
0002 DWDMU 4 8,8,4,2,3,96,96 Standard hiT 7300+,F0082,Unprotected,,,,,,,,
0002 DWDMU 4 8,8,4,2,3,96,96 Standard hiT 7300+,F0080,Unprotected,,,,,,,,
0002 DWDMU 4 8,8,4,2,3,96,96 Standard hiT 7300+,F0078,Unprotected,,,,,,,,
0002 DWDMU 4 8,8,4,2,3,96,96 Standard hiT 7300+,F0076,Unprotected,,,,,,,,
0002 DWDMU 4 8,8,4,2,3,96,96 Standard hiT 7300+,F0074,Unprotected,,,,,,,,
0002 DWDMU 4 8,8,4,2,3,96,96 Standard hiT 7300+,F0072,Unprotected,,,,,,,,
0001 DWDMU 10 4,10,4,1,4,96,96 Standard hiT 7300+,F0089,Unprotected,,,,,,,,
0001 DWDMU 10 4,10,4,1,4,96,96 Standard hiT 7300+,F0088,Unprotected,,,,,,,,
0001 DWDMU 10 4,10,4,1,4,96,96 Standard hiT 7300+,F0086,Unprotected,,,,,,,,
0001 DWDMU 10 4,10,4,1,4,96,96 Standard hiT 7300+,F0084,Unprotected,,,,,,,,
0002 DWDMU 10 4,4,10,4,1,96,96 Standard hiT 7300+,F0083,Unprotected,,,,,,,,
0002 DWDMU 10 4,4,10,4,1,96,96 Standard hiT 7300+,F0085,Unprotected,,,,,,,,
0002 DWDMU 10 4,4,10,4,1,96,96 Standard hiT 7300+,F0087,Unprotected,,,,,,,,
0002 DWDMU 10 4,4,10,4,1,96,96 Standard hiT 7300+,F0090,Unprotected,,,,,,,,
0002 DWDMU 11 4,4,11,5,1,96,96 Standard hiT 7300+,F0091,Unprotected,,,,,,,,
0002 DWDMU 11 4,4,11,5,1,96,96 Standard hiT 7300+,F0093,Unprotected,,,,,,,,
0002 DWDMU 11 4,4,11,5,1,96,96 Standard hiT 7300+,F0095,Unprotected,,,,,,,,
0002 DWDMU 11 4,4,11,5,1,96,96 Standard hiT 7300+,F0097,Unprotected,,,,,,,,
0001 DWDMU 11 4,11,4,1,5,96,96 Standard hiT 7300+,F0098,Unprotected,,,,,,,,
0001 DWDMU 11 4,11,4,1,5,96,96 Standard hiT 7300+,F0096,Unprotected,,,,,,,,
0001 DWDMU 11 4,11,4,1,5,96,96 Standard hiT 7300+,F0094,Unprotected,,,,,,,,
0001 DWDMU 11 4,11,4,1,5,96,96 Standard hiT 7300+,F0092,Unprotected,,,,,,,,
0001 DWDMU 1 8,1,8,3,1,96,96 Standard hiT 7300+,F0021,Unprotected,,,,,,,,
0001 DWDMU 1 8,1,8,3,1,96,96 Standard hiT 7300+,F0023,Unprotected,,,,,,,,
0001 DWDMU 1 8,1,8,3,1,96,96 Standard hiT 7300+,F0025,Unprotected,,,,,,,,
0002 DWDMU 1 8,8,1,1,3,96,96 Standard hiT 7300+,F0026,Unprotected,,,,,,,,
0002 DWDMU 1 8,8,1,1,3,96,96 Standard hiT 7300+,F0024,Unprotected,,,,,,,,
0002 DWDMU 1 8,8,1,1,3,96,96 Standard hiT 7300+,F0022,Unprotected,,,,,,,,
0002 DWDMU 10 8,8,10,4,2,96,96 Standard hiT 7300+,F0113,Unprotected,,,,,,,,
0002 DWDMU 10 8,8,10,4,2,96,96 Standard hiT 7300+,F0115,Unprotected,,,,,,,,
0002 DWDMU 10 8,8,10,4,2,96,96 Standard hiT 7300+,F0117,Unprotected,,,,,,,,
0002 DWDMU 10 8,8,10,4,2,96,96 Standard hiT 7300+,F0120,Unprotected,,,,,,,,
0002 DWDMU 10 8,8,10,4,2,96,96 Standard hiT 7300+,F0121,Unprotected,,,,,,,,
0001 DWDMU 10 8,10,8,2,4,96,96 Standard hiT 7300+,F0122,Unprotected,,,,,,,,
0001 DWDMU 10 8,10,8,2,4,96,96 Standard hiT 7300+,F0119,Unprotected,,,,,,,,
0001 DWDMU 10 8,10,8,2,4,96,96 Standard hiT 7300+,F0118,Unprotected,,,,,,,,
0001 DWDMU 10 8,10,8,2,4,96,96 Standard hiT 7300+,F0116,Unprotected,,,,,,,,
0001 DWDMU 10 8,10,8,2,4,96,96 Standard hiT 7300+,F0114,Unprotected,,,,,,,,
0002 DWDMU 10 9,9,10,1,3,96,96 Standard hiT 7300+,F0123,Unprotected,,,,,,,,
0002 DWDMU 10 9,9,10,1,3,96,96 Standard hiT 7300+,F0125,Unprotected,,,,,,,,
0002 DWDMU 10 9,9,10,1,3,96,96 Standard hiT 7300+,F0127,Unprotected,,,,,,,,
0001 DWDMU 10 9,10,9,3,1,96,96 Standard hiT 7300+,F0128,Unprotected,,,,,,,,
0001 DWDMU 10 9,10,9,3,1,96,96 Standard hiT 7300+,F0126,Unprotected,,,,,,,,
0001 DWDMU 10 9,10,9,3,1,96,96 Standard hiT 7300+,F0124,Unprotected,,,,,,,,
0002 DWDMU 12 9,9,12,2,1,96,96 Standard hiT 7300+,F0129,Unprotected,,,,,,,,
0002 DWDMU 12 9,9,12,2,1,96,96 Standard hiT 7300+,F0131,Unprotected,,,,,,,,
0001 DWDMU 12 9,12,9,1,2,96,96 Standard hiT 7300+,F0132,Unprotected,,,,,,,,
0001 DWDMU 12 9,12,9,1,2,96,96 Standard hiT 7300+,F0130,Unprotected,,,,,,,,
0001 DWDMU 10 11,10,11,4,2,96,96 Standard hiT 7300+,F0133,Unprotected,,,,,,,,
0001 DWDMU 10 11,10,11,4,2,96,96 Standard hiT 7300+,F0135,Unprotected,,,,,,,,
0001 DWDMU 10 11,10,11,4,2,96,96 Standard hiT 7300+,F0137,Unprotected,,,,,,,,
0002 DWDMU 10 11,11,10,2,4,96,96 Standard hiT 7300+,F0138,Unprotected,,,,,,,,
0002 DWDMU 10 11,11,10,2,4,96,96 Standard hiT 7300+,F0136,Unprotected,,,,,,,,
0002 DWDMU 10 11,11,10,2,4,96,96 Standard hiT 7300+,F0134,Unprotected,,,,,,,,
0001 DWDMU 11 12,11,12,3,2,96,96 Standard hiT 7300+,F0139,Unprotected,,,,,,,,
0001 DWDMU 11 12,11,12,3,2,96,96 Standard hiT 7300+,F0141,Unprotected,,,,,,,,
0002 DWDMU 11 12,12,11,2,3,96,96 Standard hiT 7300+,F0142,Unprotected,,,,,,,,
0002 DWDMU 11 12,12,11,2,3,96,96 Standard hiT 7300+,F0140,Unprotected,,,,,,,,
