#name,code,latitudeDeg,latitudeMin,latitudeSec,longitudeDeg,longitudeMin,longitudeSec,description
#Version 5.1
S0115,S0115,38,13,6,15,56,58,
S0116,S0116,38,34,47,16,22,40,
S0117,S0117,45,11,12,10,43,40,
S0118,S0118,45,11,12,11,7,23,
S0119,S0119,37,39,35,13,15,52,
S0120,S0120,37,52,5,13,9,56,
S0121,S0121,38,3,0,13,54,25,
S0122,S0122,37,54,2,14,19,8,
S0123,S0123,37,46,14,14,40,52,
S0124,S0124,37,10,56,14,2,49,
S0125,S0125,37,5,2,14,21,36,
S0126,S0126,36,53,58,14,34,27,
S0127,S0127,36,47,39,14,55,42,
S0128,S0128,36,59,30,15,19,55,
S0129,S0129,37,16,3,15,14,58,
S0063,S0063,42,4,33,12,0,45,
