#name,startNode,endNode,backname,mode,fiberType,length,measuredLossC,fixFiberMargin,fiberMarginPerKm,spanFixMargin,totalFiberLoss,measuredDispersionLambdaRefC,measuredDispersionSlopeC,measuredPmd,lossesToNode,lossesFromNode,deltaBackwardPumpingRamanGain,deltaForwardPumpingRamanGain,estimatedLossC,estimatedDispersionLambdaRefC,estimatedDispersionSlopeC,estimatedPmd,sharedRiskLinkGroup,startNodeType,endNodeType,startSiteLatitudeDeg,startSiteLatitudeMin,startSiteLatitudeSec,startSiteLongitudeDeg,startSiteLongitudeMin,startSiteLongitudeSec,endSiteLatitudeDeg,endSiteLatitudeMin,endSiteLatitudeSec,endSiteLongitudeDeg,endSiteLongitudeMin,endSiteLongitudeSec,startNode.version,endNode.version,startNode.systemType,endNode.systemType,dhcpPoolDomainName,protecting,subNetNameSource,subNetDescriptionSource,subNetAreaScaleSource,subNetAreaHeightSource,subNetAreaWidthSource,subNetLatitudeSource,subNetLongitudeSource,subNetIconLatitudeSource,subNetIconLongitudeSource,subNetNameTarget,subNetDescriptionTarget,subNetAreaScaleTarget,subNetAreaHeightTarget,subNetAreaWidthTarget,subNetLatitudeTarget,subNetLongitudeTarget,subNetIconLatitudeTarget,subNetIconLongitudeTarget
#Version 5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F0062,S0056-100,14,F0061,Auto,SSMF,66.0,13.86,0.0,0.01,0.0,16.02,1108.8,0.058,0.40620192,0.25,0.25,0.0,0.0,13.86,1108.8,0.058,0.40620192,,OLR,ONN-X96,43.0,25.0,7.0,11.0,22.0,13.0,43.0,48.0,1.0,11.0,16.0,17.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0151,S0004-100,28,F0152,Auto,SSMF,65.0,13.65,0.0,0.01,0.0,15.8,1092.0,0.058,0.403112887,0.25,0.25,0.0,0.0,13.65,1092.0,0.058,0.403112887,,OLR,ONN-X96,43.0,21.0,32.0,12.0,44.0,44.0,43.0,11.0,27.0,12.0,8.0,40.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0152,28,S0004-100,F0151,Auto,SSMF,65.0,13.65,0.0,0.01,0.0,15.8,1092.0,0.058,0.403112887,0.25,0.25,0.0,0.0,13.65,1092.0,0.058,0.403112887,,ONN-X96,OLR,43.0,11.0,27.0,12.0,8.0,40.0,43.0,21.0,32.0,12.0,44.0,44.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0243,S0051-100,28,F0244,Auto,SSMF,66.0,13.86,0.0,0.01,0.0,16.02,1108.8,0.058,0.40620192,0.25,0.25,0.0,0.0,13.86,1108.8,0.058,0.40620192,,OLR,ONN-X96,43.0,34.0,5.0,12.0,6.0,11.0,43.0,11.0,27.0,12.0,8.0,40.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0244,28,S0051-100,F0243,Auto,SSMF,66.0,13.86,0.0,0.01,0.0,16.02,1108.8,0.058,0.40620192,0.25,0.25,0.0,0.0,13.86,1108.8,0.058,0.40620192,,ONN-X96,OLR,43.0,11.0,27.0,12.0,8.0,40.0,43.0,34.0,5.0,12.0,6.0,11.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0059,28,S0060-100,F0060,Auto,SSMF,79.0,16.59,0.0,0.01,0.0,19.18,1327.2,0.058,0.44440972,0.25,0.25,0.0,0.0,16.59,1327.2,0.058,0.44440972,,ONN-X96,OLR,43.0,11.0,27.0,12.0,8.0,40.0,42.0,56.0,17.0,12.0,21.0,1.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0060,S0060-100,28,F0059,Auto,SSMF,79.0,16.59,0.0,0.01,0.0,19.18,1327.2,0.058,0.44440972,0.25,0.25,0.0,0.0,16.59,1327.2,0.058,0.44440972,,OLR,ONN-X96,42.0,56.0,17.0,12.0,21.0,1.0,43.0,11.0,27.0,12.0,8.0,40.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0147,S0003-100,2,F0148,Auto,LEAF Corning,56.5,12.43,0.0,0.01,0.0,14.395,237.3,0.086,0.300665927,0.25,0.25,0.0,0.0,12.43,237.3,0.086,0.300665927,,OLR,ONN-X96,44.0,6.0,52.0,12.0,57.0,35.0,43.0,38.0,1.0,13.0,32.0,40.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0148,2,S0003-100,F0147,Auto,LEAF Corning,56.5,12.43,0.0,0.01,0.0,14.395,237.3,0.086,0.300665927,0.25,0.25,0.0,0.0,12.43,237.3,0.086,0.300665927,,ONN-X96,OLR,43.0,38.0,1.0,13.0,32.0,40.0,44.0,6.0,52.0,12.0,57.0,35.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0049,2,S0005-100,F0050,Auto,SSMF,65.0,13.65,0.0,0.01,0.0,15.8,1092.0,0.058,0.403112887,0.25,0.25,0.0,0.0,13.65,1092.0,0.058,0.403112887,,ONN-X96,OLR,43.0,38.0,1.0,13.0,32.0,40.0,43.0,30.0,8.0,13.0,10.0,56.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0050,S0005-100,2,F0049,Auto,SSMF,65.0,13.65,0.0,0.01,0.0,15.8,1092.0,0.058,0.403112887,0.25,0.25,0.0,0.0,13.65,1092.0,0.058,0.403112887,,OLR,ONN-X96,43.0,30.0,8.0,13.0,10.0,56.0,43.0,38.0,1.0,13.0,32.0,40.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0047,2,S0006-100,F0048,Auto,LEAF Corning,53.0,11.66,0.0,0.01,0.0,13.49,222.6,0.086,0.291204395,0.25,0.25,0.0,0.0,11.66,222.6,0.086,0.291204395,,ONN-X96,OLR,43.0,38.0,1.0,13.0,32.0,40.0,43.0,23.0,19.0,13.0,50.0,57.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0048,S0006-100,2,F0047,Auto,LEAF Corning,53.0,11.66,0.0,0.01,0.0,13.49,222.6,0.086,0.291204395,0.25,0.25,0.0,0.0,11.66,222.6,0.086,0.291204395,,OLR,ONN-X96,43.0,23.0,19.0,13.0,50.0,57.0,43.0,38.0,1.0,13.0,32.0,40.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0065,31,S0003-100,F0066,Auto,SSMF,56.5,11.865,0.0,0.01,0.0,13.83,949.2,0.058,0.375832409,0.25,0.25,0.0,0.0,11.865,949.2,0.058,0.375832409,,ONN-X96,OLR,44.0,22.0,48.0,12.0,18.0,33.0,44.0,6.0,52.0,12.0,57.0,35.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0066,S0003-100,31,F0065,Auto,SSMF,56.5,11.865,0.0,0.01,0.0,13.83,949.2,0.058,0.375832409,0.25,0.25,0.0,0.0,11.865,949.2,0.058,0.375832409,,OLR,ONN-X96,44.0,6.0,52.0,12.0,57.0,35.0,44.0,22.0,48.0,12.0,18.0,33.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0193,S0026-100,31,F0194,Auto,SSMF,71.0,14.91,0.0,0.01,0.0,17.22,1192.8,0.058,0.421307488,0.25,0.25,0.0,0.0,14.91,1192.8,0.058,0.421307488,,OLR,ONN-X96,44.0,35.0,30.0,12.0,35.0,51.0,44.0,22.0,48.0,12.0,18.0,33.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0194,31,S0026-100,F0193,Auto,SSMF,71.0,14.91,0.0,0.01,0.0,17.22,1192.8,0.058,0.421307488,0.25,0.25,0.0,0.0,14.91,1192.8,0.058,0.421307488,,ONN-X96,OLR,44.0,22.0,48.0,12.0,18.0,33.0,44.0,35.0,30.0,12.0,35.0,51.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0201,S0030-100,31,F0202,Auto,LEAF Corning,59.0,12.98,0.0,0.01,0.0,14.97,247.8,0.086,0.307245829,0.25,0.25,0.0,0.0,12.98,247.8,0.086,0.307245829,,OLR,ONN-X96,44.0,22.0,27.0,11.0,57.0,18.0,44.0,22.0,48.0,12.0,18.0,33.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0202,31,S0030-100,F0201,Auto,LEAF Corning,59.0,12.98,0.0,0.01,0.0,14.97,247.8,0.086,0.307245829,0.25,0.25,0.0,0.0,12.98,247.8,0.086,0.307245829,,ONN-X96,OLR,44.0,22.0,48.0,12.0,18.0,33.0,44.0,22.0,27.0,11.0,57.0,18.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0111,43,10,F0112,Auto,LEAF Corning,33.0,7.26,0.0,0.01,0.0,8.59,138.6,0.086,0.229782505,0.25,0.25,0.0,0.0,7.26,138.6,0.086,0.229782505,,ONN-X96,ONN-X96,45.0,26.0,30.0,12.0,21.0,31.0,44.0,49.0,54.0,12.0,4.0,42.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0112,10,43,F0111,Auto,LEAF Corning,33.0,7.26,0.0,0.01,0.0,8.59,138.6,0.086,0.229782505,0.25,0.25,0.0,0.0,7.26,138.6,0.086,0.229782505,,ONN-X96,ONN-X96,44.0,49.0,54.0,12.0,4.0,42.0,45.0,26.0,30.0,12.0,21.0,31.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0113,43,26,F0114,Auto,LEAF Corning,31.0,6.82,0.0,0.01,0.0,8.13,130.2,0.086,0.222710574,0.25,0.25,0.0,0.0,6.82,130.2,0.086,0.222710574,,ONN-X96,ONN-X96,45.0,26.0,30.0,12.0,21.0,31.0,45.0,26.0,9.0,11.0,49.0,23.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0114,26,43,F0113,Auto,LEAF Corning,31.0,6.82,0.0,0.01,0.0,8.13,130.2,0.086,0.222710574,0.25,0.25,0.0,0.0,6.82,130.2,0.086,0.222710574,,ONN-X96,ONN-X96,45.0,26.0,9.0,11.0,49.0,23.0,45.0,26.0,30.0,12.0,21.0,31.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0181,S0020-100,43,F0182,Auto,LEAF Corning,47.0,10.34,0.0,0.01,0.0,12.01,197.4,0.086,0.274226184,0.25,0.25,0.0,0.0,10.34,197.4,0.086,0.274226184,,OLR,ONN-X96,45.0,46.0,53.0,12.0,17.0,33.0,45.0,26.0,30.0,12.0,21.0,31.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0182,43,S0020-100,F0181,Auto,LEAF Corning,47.0,10.34,0.0,0.01,0.0,12.01,197.4,0.086,0.274226184,0.25,0.25,0.0,0.0,10.34,197.4,0.086,0.274226184,,ONN-X96,OLR,45.0,26.0,30.0,12.0,21.0,31.0,45.0,46.0,53.0,12.0,17.0,33.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0127,43,S0022-100,F0128,Auto,LEAF Corning,61.0,13.42,0.0,0.01,0.0,15.53,256.2,0.086,0.312409987,0.25,0.25,0.0,0.0,13.42,256.2,0.086,0.312409987,,ONN-X96,OLR,45.0,26.0,30.0,12.0,21.0,31.0,45.0,37.0,34.0,12.0,45.0,44.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0128,S0022-100,43,F0127,Auto,LEAF Corning,61.0,13.42,0.0,0.01,0.0,15.53,256.2,0.086,0.312409987,0.25,0.25,0.0,0.0,13.42,256.2,0.086,0.312409987,,OLR,ONN-X96,45.0,37.0,34.0,12.0,45.0,44.0,45.0,26.0,30.0,12.0,21.0,31.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0131,10,26,F0132,Auto,LEAF Corning,4.0,0.88,0.0,0.01,0.0,1.42,16.8,0.086,0.08,0.25,0.25,0.0,0.0,0.88,16.8,0.086,0.08,,ONN-X96,ONN-X96,44.0,49.0,54.0,12.0,4.0,42.0,45.0,26.0,9.0,11.0,49.0,23.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0132,26,10,F0131,Auto,LEAF Corning,4.0,0.88,0.0,0.01,0.0,1.42,16.8,0.086,0.08,0.25,0.25,0.0,0.0,0.88,16.8,0.086,0.08,,ONN-X96,ONN-X96,45.0,26.0,9.0,11.0,49.0,23.0,44.0,49.0,54.0,12.0,4.0,42.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0109,S0024-100,10,F0110,Auto,SSMF,72.0,15.12,0.0,0.01,0.0,17.439999999,1209.6,0.058,0.424264068,0.25,0.25,0.0,0.0,15.12,1209.6,0.058,0.424264068,,OLR,ONN-X96,45.0,5.0,38.0,12.0,39.0,48.0,44.0,49.0,54.0,12.0,4.0,42.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0110,10,S0024-100,F0109,Auto,SSMF,72.0,15.12,0.0,0.01,0.0,17.439999999,1209.6,0.058,0.424264068,0.25,0.25,0.0,0.0,15.12,1209.6,0.058,0.424264068,,ONN-X96,OLR,44.0,49.0,54.0,12.0,4.0,42.0,45.0,5.0,38.0,12.0,39.0,48.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0091,5,21,F0092,Auto,LEAF Corning,49.0,10.78,0.0,0.01,0.0,12.57,205.8,0.086,0.28,0.25,0.25,0.0,0.0,10.78,205.8,0.086,0.28,,ONN-X96,ONN-X96,44.0,39.0,43.0,11.0,23.0,12.0,44.0,53.0,3.0,10.0,43.0,40.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0092,21,5,F0091,Auto,LEAF Corning,49.0,10.78,0.0,0.01,0.0,12.57,205.8,0.086,0.28,0.25,0.25,0.0,0.0,10.78,205.8,0.086,0.28,,ONN-X96,ONN-X96,44.0,53.0,3.0,10.0,43.0,40.0,44.0,39.0,43.0,11.0,23.0,12.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0135,5,S0028-100,F0136,Auto,LEAF Corning,67.5,14.85,0.0,0.01,0.0,17.125,283.5,0.086,0.328633534,0.25,0.25,0.0,0.0,14.85,283.5,0.086,0.328633534,,ONN-X96,OLR,44.0,39.0,43.0,11.0,23.0,12.0,45.0,5.0,59.0,11.0,40.0,0.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0136,S0028-100,5,F0135,Auto,LEAF Corning,67.5,14.85,0.0,0.01,0.0,17.125,283.5,0.086,0.328633534,0.25,0.25,0.0,0.0,14.85,283.5,0.086,0.328633534,,OLR,ONN-X96,45.0,5.0,59.0,11.0,40.0,0.0,44.0,39.0,43.0,11.0,23.0,12.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0071,5,S0029-100,F0072,Auto,SSMF,58.0,12.18,0.0,0.01,0.0,14.16,974.4,0.058,0.380788655,0.25,0.25,0.0,0.0,12.18,974.4,0.058,0.380788655,,ONN-X96,OLR,44.0,39.0,43.0,11.0,23.0,12.0,44.0,29.0,51.0,11.0,44.0,56.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0072,S0029-100,5,F0071,Auto,SSMF,58.0,12.18,0.0,0.01,0.0,14.16,974.4,0.058,0.380788655,0.25,0.25,0.0,0.0,12.18,974.4,0.058,0.380788655,,OLR,ONN-X96,44.0,29.0,51.0,11.0,44.0,56.0,44.0,39.0,43.0,11.0,23.0,12.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0069,5,S0031-100,F0070,Auto,LEAF Corning,53.5,11.77,0.0,0.01,0.0,13.605,224.7,0.086,0.292574776,0.25,0.25,0.0,0.0,11.77,224.7,0.086,0.292574776,,ONN-X96,OLR,44.0,39.0,43.0,11.0,23.0,12.0,44.0,19.0,16.0,11.0,19.0,44.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0070,S0031-100,5,F0069,Auto,LEAF Corning,53.5,11.77,0.0,0.01,0.0,13.605,224.7,0.086,0.292574776,0.25,0.25,0.0,0.0,11.77,224.7,0.086,0.292574776,,OLR,ONN-X96,44.0,19.0,16.0,11.0,19.0,44.0,44.0,39.0,43.0,11.0,23.0,12.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0205,S0032-100,21,F0206,Auto,LEAF Corning,61.0,13.42,0.0,0.01,0.0,15.53,256.2,0.086,0.312409987,0.25,0.25,0.0,0.0,13.42,256.2,0.086,0.312409987,,OLR,ONN-X96,45.0,0.0,23.0,10.0,18.0,57.0,44.0,53.0,3.0,10.0,43.0,40.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0206,21,S0032-100,F0205,Auto,LEAF Corning,61.0,13.42,0.0,0.01,0.0,15.53,256.2,0.086,0.312409987,0.25,0.25,0.0,0.0,13.42,256.2,0.086,0.312409987,,ONN-X96,OLR,44.0,53.0,3.0,10.0,43.0,40.0,45.0,0.0,23.0,10.0,18.0,57.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0115,21,S0117-100,F0116,Auto,SSMF,53.5,11.235,0.0,0.01,0.0,13.07,898.8,0.058,0.36571847,0.25,0.25,0.0,0.0,11.235,898.8,0.058,0.36571847,,ONN-X96,OLR,44.0,53.0,3.0,10.0,43.0,40.0,45.0,11.0,12.0,10.0,43.0,40.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0116,S0117-100,21,F0115,Auto,SSMF,53.5,11.235,0.0,0.01,0.0,13.07,898.8,0.058,0.36571847,0.25,0.25,0.0,0.0,11.235,898.8,0.058,0.36571847,,OLR,ONN-X96,45.0,11.0,12.0,10.0,43.0,40.0,44.0,53.0,3.0,10.0,43.0,40.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0183,S0021-100,40,F0184,Auto,LEAF Corning,44.0,9.68,0.0,0.01,0.0,11.319999999,184.8,0.086,0.265329983,0.25,0.25,0.0,0.0,9.68,184.8,0.086,0.265329983,,OLR,ONN-X96,46.0,11.0,57.0,13.0,11.0,55.0,45.0,51.0,22.0,13.0,25.0,45.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0184,40,S0021-100,F0183,Auto,LEAF Corning,44.0,9.68,0.0,0.01,0.0,11.319999999,184.8,0.086,0.265329983,0.25,0.25,0.0,0.0,9.68,184.8,0.086,0.265329983,,ONN-X96,OLR,45.0,51.0,22.0,13.0,25.0,45.0,46.0,11.0,57.0,13.0,11.0,55.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0187,S0023-100,40,F0188,Auto,LEAF Corning,60.0,13.2,0.0,0.01,0.0,15.2,252.0,0.086,0.309838667,0.25,0.25,0.0,0.0,13.2,252.0,0.086,0.309838667,,OLR,ONN-X96,45.0,44.0,29.0,13.0,7.0,28.0,45.0,51.0,22.0,13.0,25.0,45.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0188,40,S0023-100,F0187,Auto,LEAF Corning,60.0,13.2,0.0,0.01,0.0,15.2,252.0,0.086,0.309838667,0.25,0.25,0.0,0.0,13.2,252.0,0.086,0.309838667,,ONN-X96,OLR,45.0,51.0,22.0,13.0,25.0,45.0,45.0,44.0,29.0,13.0,7.0,28.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0179,S0019-100,42,F0180,Auto,LEAF Corning,45.5,10.01,0.0,0.01,0.0,11.665,191.1,0.086,0.269814751,0.25,0.25,0.0,0.0,10.01,191.1,0.086,0.269814751,,OLR,ONN-X96,46.0,18.0,6.0,12.0,30.0,54.0,46.0,23.0,54.0,12.0,56.0,6.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0180,42,S0019-100,F0179,Auto,LEAF Corning,45.5,10.01,0.0,0.01,0.0,11.665,191.1,0.086,0.269814751,0.25,0.25,0.0,0.0,10.01,191.1,0.086,0.269814751,,ONN-X96,OLR,46.0,23.0,54.0,12.0,56.0,6.0,46.0,18.0,6.0,12.0,30.0,54.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0125,42,S0021-100,F0126,Auto,LEAF Corning,44.0,9.68,0.0,0.01,0.0,11.319999999,184.8,0.086,0.265329983,0.25,0.25,0.0,0.0,9.68,184.8,0.086,0.265329983,,ONN-X96,OLR,46.0,23.0,54.0,12.0,56.0,6.0,46.0,11.0,57.0,13.0,11.0,55.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0126,S0021-100,42,F0125,Auto,LEAF Corning,44.0,9.68,0.0,0.01,0.0,11.319999999,184.8,0.086,0.265329983,0.25,0.25,0.0,0.0,9.68,184.8,0.086,0.265329983,,OLR,ONN-X96,46.0,11.0,57.0,13.0,11.0,55.0,46.0,23.0,54.0,12.0,56.0,6.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0075,16,35,F0076,Auto,SSMF,55.0,11.549999999,0.0,0.01,0.0,13.5,924.0,0.058,0.370809924,0.25,0.25,0.0,0.0,11.549999999,924.0,0.058,0.370809924,,ONN-X96,ONN-X96,44.0,31.0,16.0,8.0,58.0,54.0,44.0,18.0,12.0,7.0,48.0,43.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0076,35,16,F0075,Auto,SSMF,55.0,11.549999999,0.0,0.01,0.0,13.5,924.0,0.058,0.370809924,0.25,0.25,0.0,0.0,11.549999999,924.0,0.058,0.370809924,,ONN-X96,ONN-X96,44.0,18.0,12.0,7.0,48.0,43.0,44.0,31.0,16.0,8.0,58.0,54.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0145,S0002-100,16,F0146,Auto,SSMF,60.5,12.705,0.0,0.01,0.0,14.81,1016.4,0.058,0.388908729,0.25,0.25,0.0,0.0,12.705,1016.4,0.058,0.388908729,,OLR,ONN-X96,44.0,46.0,2.0,8.0,27.0,16.0,44.0,31.0,16.0,8.0,58.0,54.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0146,16,S0002-100,F0145,Auto,SSMF,60.5,12.705,0.0,0.01,0.0,14.81,1016.4,0.058,0.388908729,0.25,0.25,0.0,0.0,12.705,1016.4,0.058,0.388908729,,ONN-X96,OLR,44.0,31.0,16.0,8.0,58.0,54.0,44.0,46.0,2.0,8.0,27.0,16.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0217,S0038-100,16,F0218,Auto,SSMF,43.0,9.03,0.0,0.01,0.0,10.659999999,722.4,0.058,0.327871926,0.25,0.25,0.0,0.0,9.03,722.4,0.058,0.327871926,,OLR,ONN-X96,44.0,46.0,23.0,8.0,56.0,55.0,44.0,31.0,16.0,8.0,58.0,54.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0218,16,S0038-100,F0217,Auto,SSMF,43.0,9.03,0.0,0.01,0.0,10.659999999,722.4,0.058,0.327871926,0.25,0.25,0.0,0.0,9.03,722.4,0.058,0.327871926,,ONN-X96,OLR,44.0,31.0,16.0,8.0,58.0,54.0,44.0,46.0,23.0,8.0,56.0,55.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0073,16,S0044-100,F0074,Auto,SSMF,60.0,12.6,0.0,0.01,0.0,14.6,1008.0,0.058,0.387298334,0.25,0.25,0.0,0.0,12.6,1008.0,0.058,0.387298334,,ONN-X96,OLR,44.0,31.0,16.0,8.0,58.0,54.0,44.0,21.0,44.0,9.0,15.0,12.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
